,날짜,구,생활인구수,유동인구수,전체점포수,프랜차이즈점포수,일반점포수,확진자수
0,2020-02-01,강남구,759286.0842,526535,55875,4371,51504,0
1,2020-02-01,강동구,519147.6209,347490.4167,20974,1901,19073,0
2,2020-02-01,강북구,319527.8081,248604.1667,13417,1075,12342,0
3,2020-02-01,강서구,555865.808,452703.3333,25902,2633,23269,0
4,2020-02-01,관악구,520445.2208,415262.5,19734,1908,17826,0
5,2020-02-01,광진구,383472.6917,295070.8333,19004,1662,17342,0
6,2020-02-01,구로구,392477.2573,352515,22318,1785,20533,0
7,2020-02-01,금천구,209278.9225,206976.6667,15677,1274,14403,0
8,2020-02-01,노원구,554617.573,415351.6667,18188,1859,16329,0
9,2020-02-01,도봉구,292981.7444,251284.5833,11691,992,10699,0
10,2020-02-01,동대문구,363740.0053,291802.5,21212,1475,19737,0
11,2020-02-01,동작구,418387.4768,324842.9167,15894,1581,14313,0
12,2020-02-01,마포구,466444.1162,333913.75,28419,2417,26002,0
13,2020-02-01,서대문구,361377.4145,256087.5,15024,1489,13535,0
14,2020-02-01,서초구,551434.4668,379510.8333,36555,2544,34011,0
15,2020-02-01,성동구,344289.7614,246416.6667,17072,1334,15738,0
16,2020-02-01,성북구,440964.3058,344237.5,17228,1584,15644,0
17,2020-02-01,송파구,772424.3241,521996.6667,37450,3186,34264,0
18,2020-02-01,양천구,422719.0307,343681.25,18361,1655,16706,0
19,2020-02-01,영등포구,435040.4807,362681.25,27266,2258,25008,0
20,2020-02-01,용산구,288810.4674,209539.5833,19047,1178,17869,0
21,2020-02-01,은평구,473525.4418,355105,18313,1554,16759,0
22,2020-02-01,종로구,258768.0006,188023.3333,25500,1616,23884,0
23,2020-02-01,중구,214437.6717,165085.4167,40338,2095,38243,0
24,2020-02-01,중랑구,378367.9483,308870,16161,1275,14886,0
25,2020-02-02,강남구,708857.998,481155.8333,55875,4371,51504,0
26,2020-02-02,강동구,527652.6729,348285.4167,20974,1901,19073,0
27,2020-02-02,강북구,327036.8204,253012.0833,13417,1075,12342,0
28,2020-02-02,강서구,559455.7117,451303.75,25902,2633,23269,0
29,2020-02-02,관악구,529535.3086,422640.4167,19734,1908,17826,0
30,2020-02-02,광진구,383759.1783,297366.6667,19004,1662,17342,0
31,2020-02-02,구로구,398702.5587,357306.6667,22318,1785,20533,0
32,2020-02-02,금천구,208384.7363,204742.9167,15677,1274,14403,0
33,2020-02-02,노원구,563385.3289,421574.1667,18188,1859,16329,0
34,2020-02-02,도봉구,301176.4034,259012.0833,11691,992,10699,0
35,2020-02-02,동대문구,366119.2584,293923.75,21212,1475,19737,0
36,2020-02-02,동작구,418515.3484,322735.4167,15894,1581,14313,0
37,2020-02-02,마포구,451895.1685,322555.4167,28419,2417,26002,0
38,2020-02-02,서대문구,358911.8598,255278.3333,15024,1489,13535,0
39,2020-02-02,서초구,526411.8952,356830.4167,36555,2544,34011,0
40,2020-02-02,성동구,338989.23,241337.0833,17072,1334,15738,0
41,2020-02-02,성북구,448735.286,351409.5833,17228,1584,15644,0
42,2020-02-02,송파구,766701.2839,513612.9167,37450,3186,34264,0
43,2020-02-02,양천구,427100.2456,345993.3333,18361,1655,16706,0
44,2020-02-02,영등포구,431477.5257,356991.6667,27266,2258,25008,0
45,2020-02-02,용산구,285030.3037,204483.75,19047,1178,17869,0
46,2020-02-02,은평구,482164.6791,360792.9167,18313,1554,16759,0
47,2020-02-02,종로구,236457.6143,167975.8333,25500,1616,23884,1
48,2020-02-02,중구,189667.5166,142336.6667,40338,2095,38243,0
49,2020-02-02,중랑구,386519.8821,314657.0833,16161,1275,14886,0
50,2020-02-03,강남구,893889.3074,652937.9167,55875,4371,51504,0
51,2020-02-03,강동구,506159.0354,326651.6667,20974,1901,19073,0
52,2020-02-03,강북구,306655.0705,231456.25,13417,1075,12342,0
53,2020-02-03,강서구,550179.4324,438974.1667,25902,2633,23269,0
54,2020-02-03,관악구,491802.845,383356.6667,19734,1908,17826,0
55,2020-02-03,광진구,370903.312,279116.6667,19004,1662,17342,0
56,2020-02-03,구로구,403547.1893,359424.1667,22318,1785,20533,0
57,2020-02-03,금천구,239873.9638,242219.1667,15677,1274,14403,0
58,2020-02-03,노원구,537500.9608,385997.0833,18188,1859,16329,0
59,2020-02-03,도봉구,282619.8757,233058.3333,11691,992,10699,0
60,2020-02-03,동대문구,364669.1226,289180.8333,21212,1475,19737,0
61,2020-02-03,동작구,407553.6555,309692.0833,15894,1581,14313,0
62,2020-02-03,마포구,472153.322,343697.0833,28419,2417,26002,0
63,2020-02-03,서대문구,378892.3453,255959.5833,15024,1489,13535,0
64,2020-02-03,서초구,614356.585,439314.1667,36555,2544,34011,0
65,2020-02-03,성동구,360464.1404,263393.75,17072,1334,15738,0
66,2020-02-03,성북구,429423.2659,329815,17228,1584,15644,0
67,2020-02-03,송파구,776723.3589,520803.75,37450,3186,34264,0
68,2020-02-03,양천구,408789.4281,318955,18361,1655,16706,0
69,2020-02-03,영등포구,489583.9853,418616.6667,27266,2258,25008,0
70,2020-02-03,용산구,297705.1049,217907.0833,19047,1178,17869,0
71,2020-02-03,은평구,451180.5124,324772.0833,18313,1554,16759,0
72,2020-02-03,종로구,302627.0093,240800.4167,25500,1616,23884,0
73,2020-02-03,중구,300909.0735,272013.75,40338,2095,38243,0
74,2020-02-03,중랑구,362468.9207,287881.25,16161,1275,14886,0
75,2020-02-04,강남구,905137.8028,658253.75,55875,4371,51504,0
76,2020-02-04,강동구,504386.5569,325917.9167,20974,1901,19073,0
77,2020-02-04,강북구,305755.7987,230517.0833,13417,1075,12342,0
78,2020-02-04,강서구,549032.4844,438459.5833,25902,2633,23269,0
79,2020-02-04,관악구,490820.0001,382341.6667,19734,1908,17826,0
80,2020-02-04,광진구,370128.6741,278815.4167,19004,1662,17342,0
81,2020-02-04,구로구,402005.0851,357585.8333,22318,1785,20533,0
82,2020-02-04,금천구,239618.2078,241067.9167,15677,1274,14403,0
83,2020-02-04,노원구,533636.4393,383868.3333,18188,1859,16329,0
84,2020-02-04,도봉구,280657.8497,231421.25,11691,992,10699,0
85,2020-02-04,동대문구,363631.5551,288920,21212,1475,19737,0
86,2020-02-04,동작구,408304.7224,309656.6667,15894,1581,14313,0
87,2020-02-04,마포구,474571.7205,344912.9167,28419,2417,26002,0
88,2020-02-04,서대문구,380307.5082,256328.75,15024,1489,13535,0
89,2020-02-04,서초구,618718.1357,441645.8333,36555,2544,34011,0
90,2020-02-04,성동구,361202.3976,263338.3333,17072,1334,15738,0
91,2020-02-04,성북구,429500.4586,330232.9167,17228,1584,15644,0
92,2020-02-04,송파구,776252.3989,520174.1667,37450,3186,34264,0
93,2020-02-04,양천구,407623.8489,317742.9167,18361,1655,16706,0
94,2020-02-04,영등포구,490319.1001,417994.5833,27266,2258,25008,0
95,2020-02-04,용산구,298682.2055,219155,19047,1178,17869,0
96,2020-02-04,은평구,448845.7093,323807.9167,18313,1554,16759,0
97,2020-02-04,종로구,307809.9472,244687.9167,25500,1616,23884,0
98,2020-02-04,중구,304395.4864,273523.3333,40338,2095,38243,0
99,2020-02-04,중랑구,360026.6511,286394.5833,16161,1275,14886,0
100,2020-02-05,강남구,904396.2567,657332.5,55875,4371,51504,0
101,2020-02-05,강동구,505542.862,326007.9167,20974,1901,19073,0
102,2020-02-05,강북구,306940.3933,231005.4167,13417,1075,12342,0
103,2020-02-05,강서구,550907.9825,438465,25902,2633,23269,0
104,2020-02-05,관악구,491753.0808,383261.25,19734,1908,17826,0
105,2020-02-05,광진구,368516.2062,278718.3333,19004,1662,17342,0
106,2020-02-05,구로구,402940.1108,357325.4167,22318,1785,20533,0
107,2020-02-05,금천구,238888.9208,239910,15677,1274,14403,0
108,2020-02-05,노원구,533667.9371,384615.4167,18188,1859,16329,0
109,2020-02-05,도봉구,280832.1224,232027.9167,11691,992,10699,0
110,2020-02-05,동대문구,364712.4231,288829.1667,21212,1475,19737,0
111,2020-02-05,동작구,408439.7929,309727.9167,15894,1581,14313,0
112,2020-02-05,마포구,474884.5245,344854.5833,28419,2417,26002,0
113,2020-02-05,서대문구,380963.6736,256471.25,15024,1489,13535,0
114,2020-02-05,서초구,618152.7053,440965,36555,2544,34011,0
115,2020-02-05,성동구,360743.6027,263325.8333,17072,1334,15738,0
116,2020-02-05,성북구,428485.9381,330221.6667,17228,1584,15644,1
117,2020-02-05,송파구,777111.7918,520737.9167,37450,3186,34264,1
118,2020-02-05,양천구,407147.3635,317605.4167,18361,1655,16706,0
119,2020-02-05,영등포구,489778.3211,417897.9167,27266,2258,25008,0
120,2020-02-05,용산구,298942.9296,219057.0833,19047,1178,17869,0
121,2020-02-05,은평구,449972.1032,324179.5833,18313,1554,16759,0
122,2020-02-05,종로구,307590.9415,242954.5833,25500,1616,23884,0
123,2020-02-05,중구,302276.2812,271464.1667,40338,2095,38243,0
124,2020-02-05,중랑구,360441.8052,287110.8333,16161,1275,14886,0
125,2020-02-06,강남구,902459.8279,652207.5,55875,4371,51504,0
126,2020-02-06,강동구,506050.438,327072.5,20974,1901,19073,0
127,2020-02-06,강북구,305741.4458,230462.5,13417,1075,12342,0
128,2020-02-06,강서구,549934.55,438588.3333,25902,2633,23269,0
129,2020-02-06,관악구,490158.0537,385070.4167,19734,1908,17826,0
130,2020-02-06,광진구,367764.3233,279660,19004,1662,17342,0
131,2020-02-06,구로구,402728.9219,356687.9167,22318,1785,20533,0
132,2020-02-06,금천구,238373.9296,238434.1667,15677,1274,14403,0
133,2020-02-06,노원구,532903.8554,389114.5833,18188,1859,16329,0
134,2020-02-06,도봉구,280411.2665,219889.5833,11691,992,10699,0
135,2020-02-06,동대문구,363550.0728,288331.6667,21212,1475,19737,0
136,2020-02-06,동작구,407236.7823,310045,15894,1581,14313,0
137,2020-02-06,마포구,475897.5837,345798.3333,28419,2417,26002,0
138,2020-02-06,서대문구,379890.3262,256048.75,15024,1489,13535,1
139,2020-02-06,서초구,618351.9562,439798.75,36555,2544,34011,0
140,2020-02-06,성동구,359170.3378,262892.9167,17072,1334,15738,0
141,2020-02-06,성북구,426898.529,330529.5833,17228,1584,15644,0
142,2020-02-06,송파구,776355.3173,520893.75,37450,3186,34264,0
143,2020-02-06,양천구,406534.0368,318041.6667,18361,1655,16706,0
144,2020-02-06,영등포구,487576.9152,416530.4167,27266,2258,25008,0
145,2020-02-06,용산구,299612.3686,219971.25,19047,1178,17869,0
146,2020-02-06,은평구,448968.2739,324882.0833,18313,1554,16759,0
147,2020-02-06,종로구,306531.6725,240435.8333,25500,1616,23884,0
148,2020-02-06,중구,301406.5743,267320,40338,2095,38243,0
149,2020-02-06,중랑구,360769.7359,287799.5833,16161,1275,14886,0
150,2020-02-07,강남구,899826.2142,654097.9167,55875,4371,51504,0
151,2020-02-07,강동구,506553.8983,327106.25,20974,1901,19073,0
152,2020-02-07,강북구,306378.7089,231237.9167,13417,1075,12342,0
153,2020-02-07,강서구,549633.5362,438200.8333,25902,2633,23269,0
154,2020-02-07,관악구,489650.0962,383875.4167,19734,1908,17826,0
155,2020-02-07,광진구,368957.7104,279888.3333,19004,1662,17342,0
156,2020-02-07,구로구,401603.9482,355072.0833,22318,1785,20533,0
157,2020-02-07,금천구,237275.7168,237334.1667,15677,1274,14403,0
158,2020-02-07,노원구,532063.6634,390445.8333,18188,1859,16329,0
159,2020-02-07,도봉구,280519.1462,217462.9167,11691,992,10699,0
160,2020-02-07,동대문구,363213.2695,287788.3333,21212,1475,19737,0
161,2020-02-07,동작구,406359.9421,309072.0833,15894,1581,14313,0
162,2020-02-07,마포구,477533.4607,348050,28419,2417,26002,0
163,2020-02-07,서대문구,375805.7402,254752.9167,15024,1489,13535,0
