날짜,구,구신규,전국신규,서울신규
2020-01-24,강서구,1,,1
2020-01-30,마포구,1,,3
2020-01-30,종로구,1,,3
2020-01-30,중랑구,1,,3
2020-01-31,성북구,1,,3
2020-01-31,종로구,2,,3
2020-02-02,타시도,1,,1
2020-02-05,성북구,1,1,2
2020-02-05,송파구,1,1,2
2020-02-06,서대문구,1,4,1
2020-02-07,타시도,1,1,1
2020-02-16,종로구,2,1,2
2020-02-19,성동구,1,20,2
2020-02-19,종로구,1,20,2
2020-02-20,성동구,1,53,5
2020-02-20,종로구,3,53,5
2020-02-20,타시도,1,53,5
2020-02-21,서대문구,1,100,2
2020-02-21,서초구,1,100,2
2020-02-22,강동구,1,229,4
2020-02-22,구로구,1,229,4
2020-02-22,서초구,2,229,4
2020-02-23,강서구,1,169,4
2020-02-23,송파구,2,169,4
2020-02-23,종로구,1,169,4
2020-02-24,관악구,1,231,4
2020-02-24,송파구,2,231,4
2020-02-24,타시도,1,231,4
2020-02-25,강동구,1,144,16
2020-02-25,금천구,1,144,16
2020-02-25,노원구,2,144,16
2020-02-25,동작구,1,144,16
2020-02-25,서대문구,1,144,16
2020-02-25,송파구,4,144,16
2020-02-25,은평구,2,144,16
2020-02-25,종로구,1,144,16
2020-02-25,타시도,3,144,16
2020-02-26,강남구,2,284,10
2020-02-26,강동구,2,284,10
2020-02-26,관악구,1,284,10
2020-02-26,양천구,1,284,10
2020-02-26,은평구,4,284,10
2020-02-27,강남구,2,505,13
2020-02-27,관악구,1,505,13
2020-02-27,광진구,1,505,13
2020-02-27,노원구,3,505,13
2020-02-27,동대문구,1,505,13
2020-02-27,송파구,3,505,13
2020-02-27,영등포구,1,505,13
2020-02-27,은평구,1,505,13
2020-02-28,강남구,2,571,8
2020-02-28,관악구,1,571,8
2020-02-28,노원구,2,571,8
2020-02-28,서대문구,1,571,8
2020-02-28,서초구,1,571,8
2020-02-28,타시도,1,571,8
2020-02-29,강남구,1,813,5
2020-02-29,노원구,1,813,5
2020-02-29,성동구,1,813,5
2020-02-29,성북구,1,813,5
2020-02-29,영등포구,1,813,5
2020-03-01,강남구,2,586,6
2020-03-01,광진구,1,586,6
2020-03-01,동대문구,1,586,6
2020-03-01,양천구,1,586,6
2020-03-01,타시도,1,586,6
2020-03-02,도봉구,1,476,6
2020-03-02,서초구,1,476,6
2020-03-02,성북구,2,476,6
2020-03-02,영등포구,2,476,6
2020-03-03,동대문구,1,600,1
2020-03-04,강북구,2,516,5
2020-03-04,동대문구,1,516,5
2020-03-04,용산구,1,516,5
2020-03-04,중랑구,1,516,5
2020-03-05,강북구,1,438,1
2020-03-06,강남구,2,518,7
2020-03-06,강서구,1,518,7
2020-03-06,성북구,1,518,7
2020-03-06,은평구,1,518,7
2020-03-06,타시도,2,518,7
2020-03-07,강북구,1,483,7
2020-03-07,관악구,1,483,7
2020-03-07,서초구,1,483,7
2020-03-07,양천구,3,483,7
2020-03-07,타시도,1,483,7
2020-03-08,강남구,1,367,10
2020-03-08,노원구,1,367,10
2020-03-08,동대문구,7,367,10
2020-03-08,타시도,1,367,10
2020-03-09,강동구,1,248,26
2020-03-09,강서구,3,248,26
2020-03-09,구로구,8,248,26
2020-03-09,금천구,1,248,26
2020-03-09,노원구,1,248,26
2020-03-09,동작구,1,248,26
2020-03-09,양천구,2,248,26
2020-03-09,은평구,4,248,26
2020-03-09,중구,1,248,26
2020-03-09,타시도,4,248,26
2020-03-10,강서구,4,131,46
2020-03-10,관악구,8,131,46
2020-03-10,구로구,5,131,46
2020-03-10,금천구,1,131,46
2020-03-10,노원구,2,131,46
2020-03-10,동대문구,4,131,46
2020-03-10,동작구,3,131,46
2020-03-10,마포구,4,131,46
2020-03-10,송파구,1,131,46
2020-03-10,양천구,7,131,46
2020-03-10,영등포구,5,131,46
2020-03-10,은평구,2,131,46
2020-03-11,강서구,3,242,17
2020-03-11,구로구,2,242,17
2020-03-11,동대문구,3,242,17
2020-03-11,마포구,1,242,17
2020-03-11,서대문구,2,242,17
2020-03-11,성북구,2,242,17
2020-03-11,송파구,1,242,17
2020-03-11,은평구,2,242,17
2020-03-11,중랑구,1,242,17
2020-03-12,강남구,1,114,12
2020-03-12,강북구,1,114,12
2020-03-12,관악구,1,114,12
2020-03-12,금천구,2,114,12
2020-03-12,노원구,1,114,12
2020-03-12,동대문구,1,114,12
2020-03-12,서초구,1,114,12
2020-03-12,성북구,1,114,12
2020-03-12,송파구,1,114,12
2020-03-12,용산구,1,114,12
2020-03-12,중랑구,1,114,12
2020-03-13,관악구,1,110,9
2020-03-13,노원구,1,110,9
2020-03-13,동대문구,3,110,9
2020-03-13,동작구,1,110,9
2020-03-13,마포구,1,110,9
2020-03-13,서초구,2,110,9
2020-03-14,강남구,1,107,8
2020-03-14,구로구,2,107,8
2020-03-14,도봉구,1,107,8
2020-03-14,마포구,1,107,8
2020-03-14,영등포구,2,107,8
2020-03-14,중랑구,1,107,8
2020-03-15,강서구,1,76,6
2020-03-15,구로구,2,76,6
2020-03-15,노원구,1,76,6
2020-03-15,영등포구,1,76,6
2020-03-15,은평구,1,76,6
2020-03-16,강서구,1,74,13
2020-03-16,관악구,2,74,13
2020-03-16,구로구,2,74,13
2020-03-16,동대문구,2,74,13
2020-03-16,동작구,1,74,13
2020-03-16,서대문구,2,74,13
2020-03-16,영등포구,1,74,13
2020-03-16,용산구,1,74,13
2020-03-16,은평구,1,74,13
2020-03-17,동대문구,1,84,4
2020-03-17,마포구,1,84,4
2020-03-17,송파구,1,84,4
2020-03-17,타시도,1,84,4
2020-03-18,강남구,2,93,11
2020-03-18,광진구,1,93,11
2020-03-18,노원구,1,93,11
